text_size_bits,image_capacity_kb,psnr,mse,ssim,image_quality
140,244.9951172,93.09447759,3.19e-05,0.99999999,good
10176,244.9951172,74.13800803,0.002507723,0.999990336,good
45203,244.9951172,67.62924374,0.011224215,0.999888171,good
123329,244.9951172,63.24231859,0.030821126,0.999647132,good
243552,244.9951172,60.2961334,0.060738914,0.999306889,acceptable
521514,244.9951172,56.99901704,0.1297713,0.998557288,acceptable
739295,244.9951172,55.47862871,0.184169407,0.998102872,acceptable
985644,244.9951172,54.22367858,0.245873941,0.997853117,bad
1355192,244.9951172,52.84888339,0.337436472,0.997498447,bad
1971210,244.9951172,51.22082612,0.490905331,0.99698997,bad
4927953,623.4375,51.29412124,0.482689928,0.994314096,bad
983264,244.9951172,53.8807753,0.26607424,0.997683111,bad
1584000,244.9951172,51.80769371,0.428855506,0.997037712,bad
1973472,244.9951172,52.08918907,0.401940209,0.997119882,bad
164064,244.9951172,61.66003564,0.04436871,0.999492582,good
323936,244.9951172,58.70102728,0.087695566,0.999011118,acceptable
693600,244.9951172,55.39363572,0.187809168,0.998038293,acceptable
45072,244.9951172,67.28309109,0.012155456,0.999878577,good
122912,244.9951172,62.88665802,0.03345142,0.99961838,good
242912,244.9951172,59.93926758,0.065940708,0.99924946,acceptable
983072,244.9951172,53.86181068,0.267238665,0.997671978,bad
1351784,244.9951172,52.48014719,0.367337818,0.997285348,bad
1990688,244.9951172,50.85628262,0.533890384,0.996735332,bad
45196,256.125,67.81179105,0.010762205,0.99994865,good
243532,256.125,60.4965311,0.057999901,0.999853399,good
739246,256.125,55.6693423,0.176256901,0.999750216,acceptable
985666,256.125,54.41711688,0.235162827,0.999677066,bad
1355276,256.125,53.04409311,0.322604967,0.999597263,bad
1995770,256.125,51.35409393,0.476070168,0.999462742,bad
2094403,256.125,51.14725957,0.499291766,0.9994473,bad
60128,256.125,66.13744951,0.015824697,0.999927626,good
323968,256.125,58.84233972,0.084888017,0.999815431,acceptable
983264,256.125,54.01137786,0.258191877,0.99964471,bad
1310944,256.125,52.76656447,0.343893458,0.999571862,bad
1802464,256.125,51.38620797,0.472562836,0.999445305,bad
2026880,256.125,50.91961464,0.526161294,0.999406972,bad
2080128,256.125,50.82434182,0.537831431,0.999399878,bad
45072,256.125,67.41417267,0.011794054,0.999943153,good
242912,256.125,60.05680441,0.064180031,0.99983792,good
737424,256.125,55.19648905,0.196531178,0.999722729,bad
983072,256.125,53.95029668,0.261848863,0.999641681,bad
1351712,256.125,52.56098418,0.360563651,0.999550719,bad
2088992,256.125,50.73800922,0.548629858,0.999390089,bad
45194,309.75,68.63469274,0.008904532,0.999868861,good
243543,309.75,61.31477914,0.048039939,0.999270146,acceptable
739307,309.75,56.49893035,0.1456087,0.998001725,acceptable
985646,309.75,55.2464351,0.194283917,0.997670563,bad
1355238,309.75,53.86380696,0.267115854,0.997435581,bad
1806967,309.75,52.61070167,0.3564595,0.997099317,bad
2130080,309.75,51.90286591,0.419559704,0.99684124,bad
2463817,309.75,51.26772925,0.485632157,0.995043002,bad
60128,309.75,67.13799864,0.012568415,0.999805725,good
323968,309.75,59.82223428,0.067741831,0.999002307,acceptable
983264,309.75,55.00064113,0.205596751,0.997537591,bad
1310944,309.75,53.7575872,0.273729523,0.997332737,bad
1802464,309.75,52.37100054,0.376686718,0.996937223,bad
2403200,309.75,51.14276749,0.499808471,0.995780426,bad
45072,309.75,68.56037111,0.009058228,0.99986738,good
242912,309.75,61.20686275,0.049248622,0.999250635,acceptable
737424,309.75,56.3647458,0.150177815,0.997938417,bad
1351712,309.75,53.72701351,0.275663337,0.997355744,bad
1802344,309.75,52.48216245,0.367167401,0.99701412,bad
2130024,309.75,51.75866317,0.433724589,0.996742649,bad
2457696,309.75,51.1377708,0.500383847,0.994840463,bad
45206,519.140625,70.85480819,0.005340717,0.999946098,good
243560,519.140625,63.5521042,0.02869921,0.999592103,good
739253,519.140625,58.75084538,0.086695354,0.998864275,acceptable
985690,519.140625,57.49122518,0.115866488,0.998618606,acceptable
1355254,519.140625,56.11089678,0.159217457,0.998318849,acceptable
1806936,519.140625,54.85733441,0.212494122,0.998011864,bad
2130080,519.140625,54.14168852,0.250559866,0.997817353,bad
2463980,519.140625,53.51114297,0.289711719,0.997703357,bad
3695947,519.140625,51.74838139,0.434752634,0.997369325,bad
4243616,519.140625,51.15305984,0.498625376,0.997250773,bad
164064,519.140625,64.77062084,0.021677953,0.999704745,good
323968,519.140625,61.81571794,0.042806386,0.999389623,good
983264,519.140625,56.99414391,0.129916996,0.998456714,acceptable
1310944,519.140625,55.74909961,0.17304952,0.998156539,acceptable
1802464,519.140625,54.364345,0.238037763,0.997778981,bad
2403200,519.140625,53.11331485,0.317503762,0.997448656,bad
3277024,519.140625,51.76488093,0.433104073,0.997196834,bad
4150816,519.140625,50.76190966,0.545618886,0.996939523,bad
122912,519.140625,65.99795512,0.016341234,0.999785984,good
242912,519.140625,63.01797564,0.032455088,0.999540934,good
737424,519.140625,58.1746394,0.09899572,0.998708693,acceptable
983072,519.140625,56.93213797,0.131785177,0.998433358,acceptable
1351712,519.140625,55.54609136,0.181330653,0.99809046,acceptable
1802344,519.140625,54.29333615,0.241961766,0.997740113,bad
2457696,519.140625,52.95306645,0.329438017,0.997390329,bad
3686496,519.140625,51.18526534,0.49494145,0.997005065,bad
4243560,519.140625,50.61715297,0.564111644,0.996877971,bad
45201,566.6015625,71.24641519,0.004880214,0.999945015,good
243556,566.6015625,63.93965311,0.026249138,0.999690067,good
739264,566.6015625,59.11303446,0.079758488,0.998982032,acceptable
985660,566.6015625,57.87131135,0.106157144,0.998604897,acceptable
1355236,566.6015625,56.48216783,0.146171794,0.998036147,acceptable
1806891,566.6015625,55.23229081,0.194917701,0.997353095,bad
2130080,566.6015625,54.52453927,0.229417442,0.996873834,bad
2464031,566.6015625,53.89148998,0.265418606,0.996455992,bad
3695953,566.6015625,52.12986418,0.398193295,0.995406216,bad
4243616,566.6015625,51.53347687,0.45680692,0.994772076,bad
4640480,566.6015625,51.14149094,0.499955403,0.994306895,bad
164064,566.6015625,65.24007421,0.019456868,0.999740199,good
693632,566.6015625,59.00448183,0.081777189,0.998965581,acceptable
1310944,566.6015625,56.23447043,0.154750948,0.997929297,bad
1802464,566.6015625,54.84994205,0.212856127,0.997115219,bad
2403200,566.6015625,53.60720281,0.283374052,0.996202278,bad
2840096,566.6015625,52.87708895,0.335252068,0.995822313,bad
3277024,566.6015625,52.25479706,0.386901715,0.995495178,bad
4587744,566.6015625,50.81762378,0.538664038,0.993873045,bad
122912,566.6015625,66.5125574,0.014515253,0.999801472,good
242912,566.6015625,63.54660615,0.028735565,0.999661394,good
737424,566.6015625,58.71105458,0.087493321,0.998890613,acceptable
983072,566.6015625,57.46370223,0.116603111,0.998477544,acceptable
1351712,566.6015625,56.08291314,0.160246682,0.997861159,bad
1802344,566.6015625,54.83474189,0.213602422,0.997118386,bad
2130024,566.6015625,54.10731906,0.252550629,0.996581305,bad
2457696,566.6015625,53.48981833,0.291137754,0.996134841,bad
3686496,566.6015625,51.72805417,0.43679227,0.99499005,bad
4243560,566.6015625,51.11230803,0.503326224,0.994273248,bad
4628584,566.6015625,50.76511354,0.54521652,0.993817276,bad
123328,623.4375,67.29292025,0.012127976,0.999830769,good
243557,623.4375,64.34878478,0.023889215,0.999643796,good
521504,623.4375,61.06490368,0.050885025,0.999217827,acceptable
739277,623.4375,59.52951182,0.072465147,0.998883607,acceptable
985672,623.4375,58.28751186,0.096455984,0.998512621,acceptable
1355278,623.4375,56.89875345,0.132802122,0.997965447,acceptable
1806944,623.4375,55.6526057,0.176937461,0.997337072,bad
2130080,623.4375,54.93726892,0.208618813,0.996848166,bad
